Order Qty (cases),List Type,SKU/MBLL Item Number,UPC/GTIN,Supplier,Brand,Type,Sub-Type,Description1,THC range,CBD range,Unit Vol/Size,Unit of Measure,Unit Price,Units Per Case,Case Price,Product Notifications
,CANNABIS AVAILABLE,45557,837050007105,INATURALLY ORGANIC INC,EMPRISE IN PARADISE,EDIBLES-BEVERAGES DRIED,MIXES (DRY),GINGER PEACH ICE TEA THC 10MG,8.5 - 10 mg/unit,.001 - .5 mg/unit,15,g,4.44,48,213.12, 
,CANNABIS CBD AVAILABLE,45561,837050000519,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,COOLING EMU OIL CBD CREAM,.001 - 5 mg/unit,450 - 550 mg/unit,48,g,29.47,6,176.82, 
,CANNABIS CBD AVAILABLE,45563,837050000526,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,TOTAL BODY CBD CREAM,.001 - 5 mg/unit,450 - 550 mg/unit,48,g,29.47,6,176.82, 
,CANNABIS CBD AVAILABLE,45564,837050000533,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,FLAWLESS CBD SERUM,.001 - 5 mg/unit,450 - 550 mg/unit,48,g,29.47,6,176.82, 
,CANNABIS CBD AVAILABLE,45565,837050000571,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,REVITALIZE CBD MOISTURIZER,.001 - 5 mg/unit,450 - 550 mg/unit,48,g,29.47,6,176.82, 
,CANNABIS CBD AVAILABLE,45566,837050000588,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,WARMTH CBD CREAM,.001 - 5 mg/unit,450 - 550 mg/unit,48,g,29.47,6,176.82, 
,CANNABIS AVAILABLE,45567,628242801799,ENTOURAGE,SATURDAY,DRIED FLOWER,MILLED/BLENDED,SWEET & SOUR READY TO ROLL,180 - 240 mg/g,.0001 - 20 mg/g,7,g,24.50,12,294, 
,CANNABIS CBD AVAILABLE,45568,837050000595,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,K9 CBD TOPICAL SPRAY,.001 - 5 mg/unit,450 - 550 mg/unit,48,g,29.47,6,176.82, 
,CANNABIS CBD AVAILABLE,45570,837050000601,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,VIEW CBD EYE CREAM,.001 - 5 mg/unit,450 - 550 mg/unit,48,g,29.47,6,176.82, 
,CANNABIS CBD AVAILABLE,45571,837050000618,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,REMARKABLE CBD CREAM,.001 - 5 mg/unit,450 - 550 mg/unit,48,g,29.47,6,176.82, 
,CANNABIS CBD AVAILABLE,45572,837050000625,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,SOAR CBD SPRAY,.001 - 5 mg/unit,450 - 550 mg/unit,48,g,29.47,6,176.82, 
,CANNABIS CBD AVAILABLE,45573,837050000632,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,VIT C BRIGHTENING CBD SERUM,.001 - 5 mg/unit,450 - 550 mg/unit,48,g,29.47,6,176.82, 
,CANNABIS AVAILABLE,45574,628242802000,ENTOURAGE,SATURDAY,DRIED FLOWER,MILLED/BLENDED,FRUIT & FUEL READY TO ROLL,180 - 240 mg/g,.0001 - 20 mg/g,7,g,24.50,12,294, 
,CANNABIS CBD AVAILABLE,45575,837050000564,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,CHARCOAL BIDIOL SCRUB,.001 - 5 mg/unit,450 - 550 mg/unit,52,g,29.47,6,176.82, 
,CANNABIS CBD AVAILABLE,45576,837050000540,INATURALLY ORGANIC INC,EMPRISE CANADA,TOPICAL PRODUCTS,BALMS/CREAMS,K9 CBD GEL,.001 - 5 mg/unit,450 - 550 mg/unit,45,g,29.47,6,176.82, 
,CANNABIS AVAILABLE,45583,812695001008,WESTERN CANNABIS,ENTOURAGE CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,SATFLW 3.5G LEMON SOUR DIESEL,250 - 300 mg/g,.0003 - 20 mg/g,3.5,g,25.00,12,300, 
,CANNABIS AVAILABLE,45585,812695001022,WESTERN CANNABIS,ENTOURAGE CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,HYBFLW 3.5G JAWA,250 - 300 mg/g,.0003 - 20 mg/g,3.5,g,25.00,12,300, 
,CANNABIS AVAILABLE,45586,812695001039,WESTERN CANNABIS,ENTOURAGE CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,HYBFLW 7G JAWA,250 - 300 mg/g,.0001 - 20 mg/g,7,g,39.00,12,468, 
,CANNABIS AVAILABLE,45592,837050000205,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,INFUSED EDIBLE OILS,HYPERNOVA THC OIL,769.5 - 940.5 mg/unit,.001 - 57 mg/unit,28.5,g,32.76,6,196.56, 
,CANNABIS AVAILABLE,45595,812695001084,WESTERN CANNABIS,ROGUE BOTANICALS,DRIED FLOWER,PRE-ROLLED,HINDU KUSH PR7X0.5G,150 - 220 mg/g,.0003 - 20 mg/g,3.5,g,19.21,12,230.52, 
,CANNABIS AVAILABLE,45599,628634531990,WESTERN CANNABIS,WESTERN CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,SATFLW 3.5G STRAWBERRY PUNCH,250 - 300 mg/g,.0003 - 20 mg/g,3.5,g,25.75,12,309, 
,CANNABIS CBD AVAILABLE,45600,837050000366,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,INFUSED EDIBLE OILS,DIMENSION CBD OIL,.001 - 85.5 mg/unit,1282.5 - 1567.5 mg/unit,28.5,g,25.77,6,154.62, 
,CANNABIS AVAILABLE,45601,837050000397,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,INFUSED EDIBLE OILS,SOLAR ECLIPSE 10:10BALANCEDOIL,256.5 - 313.5 mg/unit,256.5 - 313.5 mg/unit,28.5,g,27.63,6,165.78, 
,CANNABIS AVAILABLE,45605,837050006009,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,BEVERAGE DROPS,ADV NANO THC BEV DROPS,405 - 495 mg/unit,.001 - 15 mg/unit,30,g,32.39,6,194.34, 
,CANNABIS CBD AVAILABLE,45606,837050006016,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,BEVERAGE DROPS,ADV NANO CBD BEV DROPS,.001 - 15 mg/unit,405 - 495 mg/unit,30,g,23.01,6,138.06, 
,CANNABIS CBD AVAILABLE,45608,837050003008,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,CBDEEP ADV 100MG SOFTGEL,.001 - 75 mg/unit,1350 - 1650 mg/unit,4.8,g,27.86,6,167.16, 
,CANNABIS CBD AVAILABLE,45612,837050000113,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,VIRGIN CBD SOFTGELS,.001 - 30 mg/unit,540 - 660 mg/unit,9.6,g,23.14,6,138.84, 
,CANNABIS CBD AVAILABLE,45613,837050000373,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,DIMENSION CBD SOFTGELS,.001 - 90 mg/unit,1350 - 1650 mg/unit,9.6,g,26.90,6,161.4, 
,CANNABIS CBD AVAILABLE,45614,837050000342,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,LEGACY CBD SOFTGELS,.001 - 30 mg/unit,540 - 660 mg/unit,9.6,g,19.87,6,119.22, 
,CANNABIS CBD AVAILABLE,45615,837050000489,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,SINGULARITY RES CBD SOFTGELS,.001 - 15 mg/unit,337.5 - 412.5 mg/unit,9.6,g,11.02,6,66.12, 
,CANNABIS CBD AVAILABLE,45617,837050002018,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,ENDOATTENTIVE CBD SOFTGELS,.001 - 30 mg/unit,540 - 660 mg/unit,9.6,g,27.50,6,165, 
,CANNABIS CBD AVAILABLE,45618,837050002025,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,ENDOMIND CBD SOFTGELS,.001 - 30 mg/unit,540 - 660 mg/unit,9.6,g,27.50,6,165, 
,CANNABIS CBD AVAILABLE,45619,837050002032,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,ENDOZEN CBD SOFTGELS,.001 - 30 mg/unit,540 - 660 mg/unit,9.6,g,27.50,6,165, 
,CANNABIS AVAILABLE,45620,837050000120,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,VIRGIN THC SOFTGELS,270 - 330 mg/unit,.001 - 15 mg/unit,10.2,g,27.77,6,166.62, 
,CANNABIS AVAILABLE,45621,837050000168,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,LIGHTYEAR THC SOFTGELS,270 - 330 mg/unit,.001 - 15 mg/unit,10.2,g,25.59,6,153.54, 
,CANNABIS AVAILABLE,45622,837050000403,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,SOLAR ECLIPSE BALANCED SOFTGEL,270 - 330 mg/unit,270 - 330 mg/unit,10.2,g,29.95,6,179.7, 
,CANNABIS AVAILABLE,45625,837050002001,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,ENDOMIND BALANCED SOFTGELS,135 - 165 mg/unit,135 - 165 mg/unit,19.2,g,28.60,6,171.6, 
,CANNABIS AVAILABLE,45626,837050002049,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,ENDONIGHT BALANCED SOFTGELS,135 - 165 mg/unit,135 - 165 mg/unit,19.2,g,28.60,6,171.6, 
,CANNABIS AVAILABLE,45627,837050002056,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,ENDOSHIELD BALANCED SOFTGELS,135 - 165 mg/unit,135 - 165 mg/unit,19.2,g,28.60,6,171.6, 
,CANNABIS AVAILABLE,45628,837050002063,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,ENDOSUPPORT BALANCED SOFTGELS,135 - 165 mg/unit,135 - 165 mg/unit,19.2,g,28.60,6,171.6, 
,CANNABIS AVAILABLE,45629,837050002070,INATURALLY ORGANIC INC,EMPRISE CANADA,EXTRACTS INGESTED,GEL CAPS,ENDOWELL BALANCED SOFTGELS,135 - 165 mg/unit,135 - 165 mg/unit,19.2,g,28.60,6,171.6, 
,CANNABIS AVAILABLE,45649,879383000873,DYKSTRA GREENHOUSES,DG,DRIED FLOWER,WHOLE BUD/FLOWER,DARKEST SIDE OF THE MOON 14G,200 - 260 mg/g,.0001 - 30 mg/g,14,g,79.03,9,711.27, 
,CANNABIS AVAILABLE,45650,879383001313,DYKSTRA GREENHOUSES,DG,DRIED FLOWER,WHOLE BUD/FLOWER,SWEET VENOM 14G,200 - 260 mg/g,.0001 - 30 mg/g,14,g,79.03,9,711.27, 
,CANNABIS AVAILABLE,45651,879383000958,DYKSTRA GREENHOUSES,DG,DRIED FLOWER,WHOLE BUD/FLOWER,WRECK & LEISURE 14G,230 - 270 mg/g,.0001 - 30 mg/g,14,g,97.56,9,878.04, 
,CANNABIS AVAILABLE,45652,879383001016,DYKSTRA GREENHOUSES,DG,DRIED FLOWER,WHOLE BUD/FLOWER,NIAGARA MELLON 14G,200 - 240 mg/g,.0001 - 30 mg/g,14,g,74.67,9,672.03, 
,CANNABIS AVAILABLE,45656,879383000965,DYKSTRA GREENHOUSES,DG,DRIED FLOWER,WHOLE BUD/FLOWER,HENNEP HEAVEN 14G,200 - 240 mg/g,.0001 - 30 mg/g,14,g,74.67,9,672.03, 
,CANNABIS AVAILABLE,45657,879383000897,DYKSTRA GREENHOUSES,DG,DRIED FLOWER,WHOLE BUD/FLOWER,EZ HAZE 14G,200 - 240 mg/g,.0001 - 30 mg/g,14,g,74.67,9,672.03, 
,CANNABIS AVAILABLE,45659,879383000996,DYKSTRA GREENHOUSES,DG,DRIED FLOWER,WHOLE BUD/FLOWER,CALIFORNIA DREAMING 14G,200 - 240 mg/g,.0001 - 30 mg/g,14,g,74.67,9,672.03, 
,CANNABIS AVAILABLE,45660,628634343029,HYDRX FARMS LTD,1337 ELITE,DRIED FLOWER,WHOLE BUD/FLOWER,SWEET TOOTH,180 - 240 mg/g,.0003 - 50 mg/g,3.5,g,18.12,12,217.44, 
,CANNABIS AVAILABLE,45661,628634343173,HYDRX FARMS LTD,LOBO,DRIED FLOWER,PRE-ROLLED,BLUNT WITH GLASS TIP PR1X1G,210 - 220 mg/g,.001 - 175 mg/g,1,g,11.28,24,270.72, 
,CANNABIS AVAILABLE,45662,879383001337,DYKSTRA GREENHOUSES,DG,DRIED FLOWER,WHOLE BUD/FLOWER,CALIFORNIA DREAMING LITE 14G,150 - 200 mg/g,.0001 - 30 mg/g,14,g,49.60,9,446.4, 
,CANNABIS AVAILABLE,45665,879383001320,DYKSTRA GREENHOUSES,DG,DRIED FLOWER,WHOLE BUD/FLOWER,SWEET VENOM LITE 14G,160 - 200 mg/g,.0001 - 30 mg/g,14,g,49.60,9,446.4, 
,CANNABIS CBD AVAILABLE,45666,628011580153,HYDRX FARMS LTD,NUVEEV,TOPICAL PRODUCTS,LOTIONS,SOOTHE SKIN CARE TRIO 3X50G,.001 - .001 mg/unit,150 - 150 mg/unit,160,g,33.79,12,405.48, 
,CANNABIS AVAILABLE,45676,827885013266,SUNDIAL GROWERS,PALMETTO,DRIED FLOWER,WHOLE BUD/FLOWER,ROMULAN 28G,200 - 260 mg/g,10 - 10 mg/g,28,g,77.99,4,311.96, 
,CANNABIS AVAILABLE,45677,827885013693,SUNDIAL GROWERS,PALMETTO,DRIED FLOWER,WHOLE BUD/FLOWER,BLUE DREAM,200 - 260 mg/g,10 - 10 mg/g,28,g,77.99,4,311.96, 
,CANNABIS AVAILABLE,45678,827885013686,SUNDIAL GROWERS,PALMETTO,DRIED FLOWER,WHOLE BUD/FLOWER,PLATINUM COOKIES,200 - 260 mg/g,10 - 10 mg/g,14,g,58.49,6,350.94, 
,CANNABIS AVAILABLE,45679,827885013679,SUNDIAL GROWERS,PALMETTO,DRIED FLOWER,WHOLE BUD/FLOWER,ROMULAN 14G,200 - 260 mg/g,10 - 10 mg/g,14,g,58.49,6,350.94, 
,CANNABIS AVAILABLE,45681,827885011262,SUNDIAL GROWERS,PALMETTO,DRIED FLOWER,WHOLE BUD/FLOWER,TROPICANNA GOLD,200 - 260 mg/g,10 - 10 mg/g,3.5,g,16.90,12,202.8, 
,CANNABIS AVAILABLE,45683,827885013532,SUNDIAL GROWERS,TOP LEAF,DRIED FLOWER,PRE-ROLLED,SAPPHIRE COOKIES PR1X1G,220 - 280 mg/g,10 - 10 mg/g,1,g,10.39,12,124.68, 
,CANNABIS AVAILABLE,45686,827885011286,SUNDIAL GROWERS,PALMETTO,DRIED FLOWER,PRE-ROLLED,TROPICANNA GOLD PR10X0.5G,200 - 260 mg/g,10 - 10 mg/g,5,g,28.90,12,346.8, 
,CANNABIS CBD AVAILABLE,45691,628582000562,AURORA CANNABIS ENTERPRISES (VANCOU,SAN RAFAEL '71,DRIED FLOWER,WHOLE BUD/FLOWER,GREAT WHITE SHARK 3.5G,50 - 80 mg/g,100 - 140 mg/g,3.5,g,20.94,12,251.28, 
,CANNABIS AVAILABLE,45692,629108300142,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,DRIED FLOWER,WHOLE BUD/FLOWER,LEMON HAZE 3.5G,195 - 250 mg/g,.0003 - 10 mg/g,3.5,g,15.34,12,184.08, 
,CANNABIS AVAILABLE,45694,629108218140,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,DRIED FLOWER,WHOLE BUD/FLOWER,SATIVA 3.5G,200 - 240 mg/g,.0003 - 10 mg/g,3.5,g,13.33,12,159.96, 
,CANNABIS AVAILABLE,45696,629108219147,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,DRIED FLOWER,WHOLE BUD/FLOWER,INDICA 7G,200 - 240 mg/g,.0001 - 10 mg/g,7,g,21.31,12,255.72, 
,CANNABIS AVAILABLE,45697,629108301149,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,DRIED FLOWER,WHOLE BUD/FLOWER,LEMON HAZE 7G,195 - 250 mg/g,.0001 - 10 mg/g,7,g,27.99,12,335.88, 
,CANNABIS AVAILABLE,45698,629108305147,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,DRIED FLOWER,WHOLE BUD/FLOWER,MK ULTRA 7G,200 - 250 mg/g,.0001 - 10 mg/g,7,g,27.99,12,335.88, 
,CANNABIS AVAILABLE,45701,629108221140,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,DRIED FLOWER,WHOLE BUD/FLOWER,INDICA 15G,200 - 240 mg/g,.0001 - 10 mg/g,15,g,39.99,12,479.88, 
,CANNABIS AVAILABLE,45705,628242264228,NOYA CANNABIS INC,GAGE CANNABIS CO.,DRIED FLOWER,PRE-ROLLED,ETHER OG PR3X0.5G,200 - 280 mg/g,.0007 - 20 mg/g,1.5,g,15.45,12,185.4, 
,CANNABIS AVAILABLE,45706,628242263740,NOYA CANNABIS INC,COOKIES,DRIED FLOWER,PRE-ROLLED,PINK ROZAY PR1X1G,200 - 280 mg/g,.001 - 20 mg/g,1,g,12.69,12,152.28, 
,CANNABIS AVAILABLE,45708,628242263368,NOYA CANNABIS INC,COOKIES,DRIED FLOWER,PRE-ROLLED,GEORGIA PIE PR1X1G,200 - 260 mg/g,.001 - 20 mg/g,1,g,12.69,12,152.28, 
,CANNABIS AVAILABLE,45709,628242260275,NOYA CANNABIS INC,COOKIES,DRIED FLOWER,PRE-ROLLED,APPLES & BANANAS PR1X1G,200 - 260 mg/g,.001 - 20 mg/g,1,g,12.69,12,152.28, 
,CANNABIS AVAILABLE,45711,628242263733,NOYA CANNABIS INC,COOKIES,DRIED FLOWER,WHOLE BUD/FLOWER,PINK ROZAY 3.5G BAG,200 - 280 mg/g,.0003 - 20 mg/g,3.5,g,41.56,12,498.72, 
,CANNABIS AVAILABLE,45712,628242263412,NOYA CANNABIS INC,COOKIES,DRIED FLOWER,WHOLE BUD/FLOWER,CHEETAH P 3.5G BAG,200 - 280 mg/g,.0003 - 20 mg/g,3.5,g,41.56,12,498.72, 
,CANNABIS AVAILABLE,45713,628242263351,NOYA CANNABIS INC,COOKIES,DRIED FLOWER,WHOLE BUD/FLOWER,GEORGIA PIE 3.5G BAG,200 - 280 mg/g,.0003 - 20 mg/g,3.5,g,41.56,12,498.72, 
,CANNABIS AVAILABLE,45715,628518000017,MONTREAL CANNABIS MEDICAL INC,MTL CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,SAGE N' SOUR 3.5G,220 - 260 mg/g,.0003 - 10 mg/g,3.5,g,20.41,12,244.92, 
,CANNABIS AVAILABLE,45716,628518000246,MONTREAL CANNABIS MEDICAL INC,MTL CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,STRAWBERRY N' MINTZ 3.5G,240 - 300 mg/g,.0003 - 10 mg/g,3.5,g,20.41,12,244.92, 
,CANNABIS AVAILABLE,45717,628518000123,MONTREAL CANNABIS MEDICAL INC,LOWKEY,DRIED FLOWER,WHOLE BUD/FLOWER,HAZE,200 - 260 mg/g,.0003 - 10 mg/g,3.5,g,18.34,12,220.08, 
,CANNABIS AVAILABLE,45718,628518000307,MONTREAL CANNABIS MEDICAL INC,LOWKEY,DRIED FLOWER,WHOLE BUD/FLOWER,DESSERT 3.5G,200 - 260 mg/g,.0003 - 10 mg/g,3.5,g,18.34,12,220.08, 
,CANNABIS AVAILABLE,45723,628518000024,MONTREAL CANNABIS MEDICAL INC,MTL CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,SAGE N' SOUR 14G,220 - 260 mg/g,.0001 - 10 mg/g,14,g,81.63,6,489.78, 
,CANNABIS AVAILABLE,45724,628518000253,MONTREAL CANNABIS MEDICAL INC,MTL CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,STRAWBERRY N' MINTZ 14G,240 - 300 mg/g,.0001 - 10 mg/g,14,g,81.63,6,489.78, 
,CANNABIS AVAILABLE,45726,628518000260,MONTREAL CANNABIS MEDICAL INC,MTL CANNABIS,DRIED FLOWER,PRE-ROLLED,STRAWBERRY N' MINTZ PR3X0.5G,223 - 300 mg/g,.0007 - 10 mg/g,1.5,g,11.90,24,285.6, 
,CANNABIS AVAILABLE,45727,628518000031,MONTREAL CANNABIS MEDICAL INC,MTL CANNABIS,DRIED FLOWER,PRE-ROLLED,SAGE N' SOUR PR3X0.5G,210 - 260 mg/g,.0007 - 10 mg/g,1.5,g,11.90,24,285.6, 
,CANNABIS AVAILABLE,45728,628518000062,MONTREAL CANNABIS MEDICAL INC,MTL CANNABIS,DRIED FLOWER,PRE-ROLLED,COOKIES N' CREAM PR3X0.5G,200 - 250 mg/g,.0007 - 10 mg/g,1.5,g,11.90,24,285.6, 
,CANNABIS AVAILABLE,45734,628678936577,HYBRID INFUSIONS LTD,VIRTUE CANNABIS,EXTRACTS INHALED,FORTIFIED PRE-ROLLED,GALACTIC GLUE INFUSED BLUNTS,450 - 735 mg/unit,.001 - 30 mg/unit,2.1,g,38.45,18,692.1, 
,CANNABIS AVAILABLE,45735,628678936539,HYBRID INFUSIONS LTD,VIRTUE CANNABIS,EXTRACTS INHALED,FORTIFIED PRE-ROLLED,GALACTIC GLUE INFUSED PR3X0.5G,450 - 600 mg/unit,.001 - 30 mg/unit,1.5,g,27.53,18,495.54, 
,CANNABIS AVAILABLE,45740,628678936812,HYBRID INFUSIONS LTD,VIRTUE CANNABIS,DRIED FLOWER,MILLED/BLENDED,GALACTIC GLUE 7G,250 - 310 mg/g,.0001 - 20 mg/g,7,g,46.16,12,553.92, 
,CANNABIS AVAILABLE,45741,628678936911,HYBRID INFUSIONS LTD,VIRTUE CANNABIS,DRIED FLOWER,MILLED/BLENDED,GALACTIC GLUE 14G,250 - 310 mg/g,.0001 - 20 mg/g,14,g,76.92,6,461.52, 
,CANNABIS AVAILABLE,45742,628678936898,HYBRID INFUSIONS LTD,VIRTUE CANNABIS,DRIED FLOWER,MILLED/BLENDED,GALACTIC GLUE 28G,250 - 310 mg/g,0 - 20 mg/g,28,g,146.15,6,876.9, 
,CANNABIS AVAILABLE,45743,628678936416,HYBRID INFUSIONS LTD,VIRTUE CANNABIS,DRIED FLOWER,PRE-ROLLED,GALACTIC GLUE BLUNTS PR5X0.5G,250 - 310 mg/g,.0004 - 20 mg/g,2.5,g,30.76,18,553.68, 
,CANNABIS AVAILABLE,45744,628678936393,HYBRID INFUSIONS LTD,VIRTUE CANNABIS,DRIED FLOWER,PRE-ROLLED,PREMIUM BLEND PR5X0.5G,220 - 280 mg/g,.0004 - 60 mg/g,2.5,g,19.22,18,345.96, 
,CANNABIS AVAILABLE,45760,841432010348,PEACE NATURALS INC,SPINACH,DRIED FLOWER,WHOLE BUD/FLOWER,TANGERINE TWIST 28G,200 - 260 mg/g,0 - 1 mg/g,28,g,91.00,6,546, 
,CANNABIS AVAILABLE,45765,695275001120,TANTALUS LABS,TANTALUS LABS,DRIED FLOWER,WHOLE BUD/FLOWER,SUNSET SHERBERT 3.5G FLOWER,190 - 230 mg/g,.0003 - .2857 mg/g,3.5,g,22.72,12,272.64, 
,CANNABIS AVAILABLE,45766,628504711712,OGEN LTD,OGEN,DRIED FLOWER,WHOLE BUD/FLOWER,DOSI-GMOSI #13 28G,240 - 300 mg/g,.01 - 10 mg/g,28,g,126.92,4,507.68, 
,CANNABIS AVAILABLE,45768,695275001151,TANTALUS LABS,TANTALUS LABS,DRIED FLOWER,PRE-ROLLED,BLACK DIAMOND PR3X0.5G,233.3333 - 303.3333 mg/g,.0007 - 1 mg/g,1.5,g,9.19,24,220.56, 
,CANNABIS AVAILABLE,45814,818386000251,BIOSCISION PHARMA INC,HWY 59 CANNABIS,VAPE,CARTRIDGE 510,MANGO KUSH LIVE TERPENE CART,800 - 880 mg/unit,.001 - 25 mg/unit,1,g,32.00,24,768, 
,CANNABIS AVAILABLE,45815,818386000268,BIOSCISION PHARMA INC,HWY 59 CANNABIS,VAPE,CARTRIDGE 510,ONE TO ONE LIVE TERPENE CART,370 - 430 mg/unit,370 - 430 mg/unit,1,g,28.00,24,672, 
,CANNABIS AVAILABLE,45817,628045101331,ADASTRA LABS INC,ENDGAME,VAPE,CARTRIDGE 510,MOSA X BLOOD ORANGE CART,820 - 880 mg/unit,.001 - 50 mg/unit,1,g,22.90,12,274.8, 
,CANNABIS AVAILABLE,45818,628045101348,ADASTRA LABS INC,ENDGAME,VAPE,CARTRIDGE 510,WHITE RHINO X RASPB LEMON CART,820 - 880 mg/unit,.001 - 50 mg/unit,1,g,22.90,12,274.8, 
,CANNABIS AVAILABLE,45819,628045101300,ADASTRA LABS INC,ENDGAME,VAPE,CARTRIDGE 510,BANANA OG X KUSH MINTS CART,820 - 880 mg/unit,.001 - 50 mg/unit,1,g,22.90,12,274.8, 
,CANNABIS AVAILABLE,45828,628045101164,ADASTRA LABS INC,ENDGAME,VAPE,CARTRIDGE 510,ASTRO PINK FULL SPEC CART,850 - 910 mg/unit,.001 - 50 mg/unit,1,g,26.92,12,323.04, 
,CANNABIS AVAILABLE,45830,628045100778,ADASTRA LABS INC,ENDGAME,EXTRACTS INHALED,SHATTER,BLK CHERRY PUNCH X JACK HERER,725 - 825 mg/unit,.001 - 50 mg/unit,1,g,23.27,12,279.24, 
,CANNABIS AVAILABLE,45833,628045100839,ADASTRA LABS INC,ENDGAME,EXTRACTS INHALED,SHATTER,JACK HERER X WHITER RHINO,725 - 825 mg/unit,.001 - 50 mg/unit,1,g,23.27,12,279.24, 
,CANNABIS AVAILABLE,45837,628045101041,ADASTRA LABS INC,ENDGAME,EXTRACTS INHALED,WAX,ASTRO PINK SUGAR WAX,650 - 825 mg/unit,.001 - 50 mg/unit,1,g,26.71,12,320.52, 
,CANNABIS AVAILABLE,45840,627987544411,SWEETGRASS CANNABIS LTD,SWEETGRASS ORGANIC CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,MINT CHOCOLATE CHIP 3.5G,250 - 290 mg/g,.0003 - 2 mg/g,3.5,g,31.47,12,377.64, 
,CANNABIS AVAILABLE,45841,627987544428,SWEETGRASS CANNABIS LTD,SWEETGRASS ORGANIC CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,CRUNCH BERRIES 3.5G,260 - 300 mg/g,.0003 - 2 mg/g,3.5,g,31.47,12,377.64, 
,CANNABIS CBD AVAILABLE,45842,831510004192,CANNGROUP DEVELOPMENT CORP,OKANAGAN,EXTRACTS INGESTED,CBD ISOLATE,CBD CREAMER 10X3G,.001 - .001 mg/unit,450 - 510 mg/unit,30,g,15.26,10,152.6, 
,CANNABIS AVAILABLE,45845,831510000446,CANNGROUP DEVELOPMENT CORP,OKANAGAN,EXTRACTS INHALED,KIEF,MOON ROCK KIEF,600 - 675 mg/unit,.001 - 75 mg/unit,1.5,g,28.41,10,284.1, 
